,song_name,artist_name,song_genre,publish_year,time_played_at,dj_name
0,Break Up Song,Little Mix,Pop ,2020,04:00,
1,Run,Becky Hill & Galantis,Dance ,2022,04:03,
2,Bed,Joel Corry / Raye / David Guetta,Dance ,2021,04:06,
3,She Looks So Perfect,5 Seconds Of Summer,,,04:09,
4,Dancing Feet,Kygo / Dnce,Pop ,2022,04:12,
5,I Don't,Dua Lipa,Pop ,2017,04:16,
6,Mood,24Kgoldn / Iann Dior,,,04:19,
7,Your Love 9PM,ATB Topic & A7S,Dance ,2021,04:24,
8,Light Switch,Charlie Puth,Pop ,2022,04:26,
9,Let You Love Me,Rita Ora,Pop ,2018,04:29,
10,Don't Call Me Up,Mabel,Pop ,2019,04:33,
11,Since You Been Gone,Kelly Clarkson,Pop ,2004,04:35,
12,Don't Play,Anne Marie & Ksi & Digital Farm Animals,Pop ,2021,04:41,
13,Bam Bam,Camila Cabello / Ed Sheeran,Pop ,2022,04:44,
14,Wake Me Up,Avicii / Aloe Blacc,Karaoke ,2015,04:47,
15,Little Bit of Love,Tom Grennan,Alternative ,2021,04:51,
16,Call Me Maybe,Carly Rae Jepsen,Pop ,2012,04:54,
17,Stay,The Kid Laroi & Justin Bieber,Pop ,2021,05:02,
18,As It Was,Harry Styles,,,05:04,
19,Shake It Off,Taylor Swift,Pop ,2014,05:07,
20,All I Know So Far,Pink,Pop ,2021,05:10,
21,Big Energy,Latto / Mariah Carey / Dj Khaled,Hip-Hop/Rap ,2022,05:14,
22,Save Your Tears (Remix),The Weeknd / Ariana Grande,R&B/Soul ,2021,05:16,
23,Anyone For You,George Ezra,,,05:20,
24,Good 4 U,Olivia Rodrigo,Pop ,2021,05:23,
25,Touch,Little Mix,Pop ,2016,05:26,
26,Lonely,Joel Corry,Dance ,2020,05:31,
27,Before You Go,Lewis Capaldi,Alternative ,2019,05:34,
28,Where Did You Go?,"Jax Jones, Mnek",Dance ,2022,05:38,
29,Melody,Sigala,Dance ,2022,05:41,
30,Money On My Mind,Sam Smith,Pop ,2014,05:43,
31,Perfect Strangers,Jonas Blue / Jp Cooper,Dance ,2016,05:47,
32,Nothing Breaks Like A Heart,Mark Ronson / Miley Cyrus,Pop ,2018,05:50,
33,Hymn For The Weekend,Coldplay + Beyonce,Karaoke ,2016,05:53,
34,she's all i wanna be,Tate Mcrae,Pop ,2022,06:07,Garry and Claire
35,My Heart Goes (La Di Da),Becky Hill / Topic,Dance ,2021,06:11,Garry and Claire
36,California Gurls,"Katy Perry, Snoop Dogg",Pop ,2010,06:13,Garry and Claire
37,Shivers,Ed Sheeran,Pop ,2021,06:22,Garry and Claire
38,I Knew You Were Trouble,Taylor Swift,Country ,2012,06:33,Garry and Claire
39,Levitating,Dua Lipa,,,06:49,Garry and Claire
40,Thats What I Want,Lil Nas X,Pop ,2021,07:04,Garry and Claire
41,What Would You Do?,"Joel Corry, David Guetta & Bryson Tiller",Dance ,2022,07:45,Garry and Claire
42,Breaking Me,"Topic, A7S",Dance ,2019,07:48,Garry and Claire
43,Run,Becky Hill & Galantis,Dance ,2022,08:07,Garry and Claire
44,Blinding Lights,The Weeknd,R&B/Soul ,2019,08:11,Garry and Claire
45,Lighter,Nathan Dawe & Ksi,Dance ,2020,08:21,Garry and Claire
46,More Than Friends,"James Hype, Kelli-Leigh",Dance ,2017,08:44,Garry and Claire
47,Bam Bam,Camila Cabello / Ed Sheeran,Pop ,2022,08:47,Garry and Claire
48,Anyone,Justin Bieber,Pop ,2021,08:54,Garry and Claire
49,Hello,Adele,Pop ,2015,09:05,Garry and Claire
50,Love The Way You Lie,"Eminem, Rihanna",Pop ,2010,09:09,Garry and Claire
51,Post Malone,Sam Feldt & RANI,Dance ,2019,09:12,Garry and Claire
52,By Your Side,Calvin Harris & Tom Grennan,Dance ,2021,09:15,Garry and Claire
53,As It Was,Harry Styles,,,09:18,Garry and Claire
54,I Wish,Joel Corry / Mabel,Dance ,2021,09:26,Garry and Claire
55,Anyone For You,George Ezra,,,09:29,Garry and Claire
56,Love Machine,Girls Aloud,Pop ,2012,10:03,
57,Space Cowboy,Jamiroquai,Dance ,2012,10:06,
58,Dynamite,Taio Cruz,Pop ,2010,10:09,
59,Gold Digger,Kanye West,Hip-Hop/Rap ,2005,10:12,
60,Love Me Right (Oh Sheila),Angel City [ ] Lara McAllen,Dance ,2003,10:16,
61,Dirrty,Christina Aguilera,Pop ,2002,10:22,
62,Give Me Everything,Pitbull / Ne-Yo / Afrojack / Nayer,Pop ,2011,10:25,
63,Unpretty,Tlc,R&B/Soul ,1999,10:28,
64,Don't Look Back In Anger,Oasis,,,10:32,
65,Release Me,Agnes,,,10:39,
